country,year,gender,age,nobs_log_inc,std_log_inc,nobs_res_1yr_log_chg,std_res_1yr_log_chg,kurt_res_1yr_log_chg,p1_res_1yr_log_chg,p2_5_res_1yr_log_chg,p5_res_1yr_log_chg,p10_res_1yr_log_chg,p12_5_res_1yr_log_chg,p25_res_1yr_log_chg,p37_5_res_1yr_log_chg,p50_res_1yr_log_chg,p62_5_res_1yr_log_chg,p75_res_1yr_log_chg,p87_5_res_1yr_log_chg,p90_res_1yr_log_chg,p95_res_1yr_log_chg,p97_5_res_1yr_log_chg,p99_res_1yr_log_chg,p99_9_res_1yr_log_chg,p99_99_res_1yr_log_chg,p9010_res_1yr_log_chg,p9050_res_1yr_log_chg,p5010_res_1yr_log_chg,nobs_res_5yr_log_chg,std_res_5yr_log_chg,kurt_res_5yr_log_chg
USA,2008,Male,25-55,48100000.0,0.9817,43100000.0,0.6191,11.46,-2.409,-1.723,-1.161,-0.5998,-0.4392,-0.08471,0.02745,0.08233,0.1223,0.1811,0.3498,0.4291,0.7609,1.141,1.631,2.709,3.6,1.029,0.3468,0.6822,34600000.0,0.7675,9.0
USA,2009,Male,25-55,46000000.0,0.9908,41500000.0,0.5844,12.26,-2.175,-1.467,-0.9183,-0.4231,-0.2928,-0.04385,0.01953,0.0539,0.09845,0.1788,0.3986,0.5004,0.8788,1.291,1.774,2.754,3.523,0.9235,0.4465,0.477,33600000.0,0.7748,8.652
USA,2010,Male,25-55,45300000.0,0.9831,41400000.0,0.5649,12.48,-2.036,-1.347,-0.8086,-0.3519,-0.2396,-0.02748,0.02788,0.06103,0.1066,0.1908,0.4269,0.5339,0.9134,1.316,1.798,2.758,3.502,0.8858,0.4728,0.413,33300000.0,0.7618,8.889
USA,2011,Male,25-55,45700000.0,0.9844,41900000.0,0.5552,12.81,-2.004,-1.312,-0.7835,-0.3411,-0.2336,-0.02966,0.02685,0.05966,0.1045,0.1886,0.4213,0.5249,0.8922,1.291,1.765,2.734,3.508,0.866,0.4653,0.4008,33000000.0,0.7596,8.976
USA,2012,Male,25-55,46200000.0,0.9834,42500000.0,0.5496,13.04,-1.996,-1.307,-0.7838,-0.3435,-0.2353,-0.02811,0.0299,0.06301,0.1069,0.1873,0.409,0.5078,0.8683,1.264,1.737,2.7,3.432,0.8513,0.4448,0.4065,33400000.0,0.7574,9.136
USA,2013,Male,25-55,46700000.0,0.9821,43100000.0,0.5429,13.19,-1.958,-1.271,-0.7571,-0.3296,-0.2259,-0.03039,0.0228,0.0583,0.1044,0.187,0.4085,0.5072,0.8662,1.258,1.733,2.699,3.449,0.8368,0.4489,0.3879,33800000.0,0.7544,9.205
USA,2014,Male,25-55,47400000.0,0.9817,43800000.0,0.5421,13.35,-1.96,-1.276,-0.764,-0.3392,-0.2358,-0.03552,0.02173,0.05977,0.1066,0.1888,0.4048,0.4994,0.8495,1.238,1.719,2.699,3.482,0.8385,0.4396,0.399,34400000.0,0.7545,9.293
USA,2015,Male,25-55,48100000.0,0.9807,43500000.0,0.5428,13.53,-1.993,-1.303,-0.7865,-0.3546,-0.2487,-0.04387,0.01764,0.05442,0.09966,0.1793,0.387,0.4785,0.8218,1.21,1.697,2.69,3.446,0.8331,0.4241,0.4091,,,
USA,2016,Male,25-55,47600000.0,0.9782,43800000.0,0.5394,13.75,-1.978,-1.282,-0.7662,-0.3428,-0.2391,-0.0398,0.01729,0.05279,0.09867,0.1784,0.3834,0.4744,0.8192,1.21,1.703,2.713,3.469,0.8172,0.4216,0.3956,,,
USA,2017,Male,25-55,48000000.0,0.9775,44200000.0,0.5394,13.87,-1.969,-1.269,-0.756,-0.34,-0.2391,-0.04386,0.01324,0.04957,0.09611,0.1764,0.3835,0.4752,0.8207,1.216,1.72,2.741,3.491,0.8152,0.4256,0.3896,,,
USA,2018,Male,25-55,48400000.0,0.9739,44700000.0,0.5406,14.07,-1.987,-1.282,-0.764,-0.3454,-0.2446,-0.04807,0.01146,0.04803,0.09381,0.1728,0.3764,0.4661,0.8079,1.204,1.712,2.754,3.522,0.8116,0.4181,0.3935,,,
USA,2019,Male,25-55,48700000.0,0.9726,,,,,,,,,,,,,,,,,,,,,,,,,,
